idea_id,title,status,priority_score,regret_score,stage,notes
001,Have lung nodule concept models been validated against radiologist opinion rather than against disease?,ACTIVE,,,CRITIQUE,
002,Dermoscopic concepts predicted from non-dermoscopic photographs: genuine visibility or shortcut?,ACTIVE,,,CRITIQUE,
003,"Does BI-RADS concept intervention survive realistic clinician behaviour, and does it beat simply reading the BI-RADS category?",ACTIVE,,,CRITIQUE,
004,The free test-retest experiment already inside CT-RATE: duplicate reconstructions of the same acquisition,ACTIVE,,,CRITIQUE,
005,"Eight named characteristics, or three latent ones? Discriminant validity of the LIDC concept vocabulary",ACTIVE,,,CRITIQUE,
006,Ask the chest-CT foundation model to diagnose a volume with no patient in it,ACTIVE,,,CRITIQUE,
007,"The same patient, twice, ten minutes apart, differing only in how much air is in the lungs",ACTIVE,,,CRITIQUE,
008,"Two papers say Sybil's residual signal is the background, one of them names emphysema, and neither measured it",ACTIVE,,,CRITIQUE,
009,Murray's cube law says how a branching tree should be built - ask whether the risk model is reading the lung's departure from it,ACTIVE,,,CRITIQUE,
010,Cardiomegaly on a CT report is admitted gestalt - ask whether the model has quietly turned it into millilitres,ACTIVE,,,CRITIQUE,
011,Forensic anthropologists age a skeleton by its rib cartilage - ask whether an unguided CT model found the same clock,ACTIVE,,,CRITIQUE,
012,Two papers say Sybil's residual is the background and name emphysema; neither measured the heart calcium sitting in the same scan,ACTIVE,,,CRITIQUE,
013,CT-CLIP has two calcification labels - coronary and arterial - so it can be asked whether it localises calcium or just sees hyperdensity,ACTIVE,,,CRITIQUE,
014,The knee-pain model may be reading trabecular stress architecture that KL grade throws away,ACTIVE,,"{'value': 5, 'why': 'Two mature OAI literatures sit one model-use experiment apart.'}",CRITIQUE,
015,A breast-cancer risk model may be reading the arteries as a vascular clock,ACTIVE,,"{'value': 4, 'why': 'Cheap once the BAC quantifier and compatible images are joined.'}",CRITIQUE,
016,The PE model may read contrast flowing backward as a pressure gauge,ACTIVE,,"{'value': 4, 'why': 'A small coverage audit quickly determines whether a striking mechanism is real work or fantasy.'}",CRITIQUE,
017,A lung-cancer model may be reading a mechanically remodeled trachea,ACTIVE,,"{'value': 5, 'why': 'A one-week geometry audit could expose a simple overlooked signal.'}",CRITIQUE,
018,The brain-tumor prognosticator may be weighing the chewing muscle,ACTIVE,,"{'value': 5, 'why': 'Extracranial tissue is easy to overlook and may dominate prognosis.'}",CRITIQUE,
019,The fibrosis model may be counting holes at the pleural edge,ACTIVE,,"{'value': 5, 'why': 'The relevant topology is cheap to compute and could explain an important model output.'}",CRITIQUE,
020,A spreading front inside the perfusion deficit,ACTIVE,,"{'value': 4, 'why': 'Standard perfusion summaries may be throwing away exactly this structure.'}",CRITIQUE,
021,The healthy hemisphere is the ruler,ACTIVE,,"{'value': 4, 'why': ""Obvious in hindsight: the field's own normalization convention has never been checked against its own benchmark models.""}",CRITIQUE,
022,Does the model mistake the end of the scan for the end of the bolus?,ACTIVE,,"{'value': 5, 'why': 'The audit is cheap and could expose a clinically consequential benchmark shortcut.'}",CRITIQUE,
023,Little's law in the penumbra: the model may be reading the vasodilatory counterattack,ACTIVE,,"{'value': 4, 'why': ""The debate's numbers and the benchmark's models are one experiment apart; obvious in hindsight once stated.""}",CRITIQUE,
024,The capillary traffic jam hidden behind the same mean transit time,ACTIVE,,"{'value': 5, 'why': 'The raw time series may contain a physiologically important distribution that released summary maps necessarily compress.'}",CRITIQUE,
025,The scan is also an actigraph: the model may be reading how much the patient moved,ACTIVE,,"{'value': 4, 'why': 'The shortcut-learning genre is actively hunting new instances; motion in stroke CTP is sitting in the open with the clinical CSV needed to test it.'}",CRITIQUE,
026,A spreading front inside the perfusion deficit,ACTIVE,,"{'value': 4, 'why': 'Standard perfusion summaries may be throwing away exactly this structure.'}",CRITIQUE,
027,"When vanished sulci mean rescue, not death",ACTIVE,,"{'value': 4, 'why': ""If support exists, ISLES'24 uniquely couples the sign to final tissue fate.""}",CRITIQUE,
028,The blood's grayscale oxygen gauge,ACTIVE,,"{'value': 3, 'why': 'Very cheap and memorable, but the physiology may not survive dataset preprocessing.'}",CRITIQUE,
029,The ground truth remembers the algorithm that drafted it,ACTIVE,,"{'value': 5, 'why': 'The audit is cheap, uses only released artifacts, and the community will eventually ask this question of any hybrid-annotated benchmark.'}",CRITIQUE,
030,The ground truth was drawn on a swollen brain,ACTIVE,,"{'value': 5, 'why': ""Cheap, keystone-verified, composes with c01, and the question will eventually be asked of every follow-up-derived ground truth; being scooped on an obvious-in-hindsight audit of the program's own charter dataset would sting.""}",CRITIQUE,
031,The vascular detour the segmentation model can see,ACTIVE,,"{'value': 5, 'why': 'The dataset uniquely co-releases the needed vascular and outcome views.'}",CRITIQUE,
032,The arterial network's spare route,ACTIVE,,"{'value': 5, 'why': 'A released multilabel arterial graph makes an otherwise difficult mechanism unusually testable.'}",CRITIQUE,
033,Did preprocessing teach the winner to read the disappearing insular ribbon?,ACTIVE,,"{'value': 4, 'why': 'A large preprocessing effect and an established radiologic signal are one experiment apart.'}",CRITIQUE,
034,The edge of the map: the benchmark scores terra incognita,ACTIVE,,"{'value': 4, 'why': 'One CPU session settles a question that becomes obvious in hindsight the first time a large-lesion case is inspected; skipping it risks every model comparison on this benchmark carrying an unexamined convention.'}",CRITIQUE,
035,The skull is a fixed-volume pressure vessel,ACTIVE,,"{'value': 5, 'why': 'Delayed ground-truth geometry is a fundamental benchmark issue that can be audited cheaply.'}",CRITIQUE,
036,Does the model bring a vascular map to the scan?,ACTIVE,,"{'value': 4, 'why': 'Cheap, label-free, and the RDD grammar is reusable across the portfolio if it works.'}",CRITIQUE,
037,The scan remembers which hospital took it,ACTIVE,,"{'value': 4, 'why': ""The decodability census is nearly free, the question is the portfolio's cleanest instance of the site-shortcut concern, and the instrument transfers to every multi-center benchmark the lab touches.""}",CRITIQUE,
038,Does the model price the last mile of blood delivery?,ACTIVE,,"{'value': 4, 'why': 'Spatial priors are easy for segmentation networks to learn and almost never reported.'}",CRITIQUE,
039,Does the model trust tissue that obeys the flow equation?,ACTIVE,,"{'value': 5, 'why': 'The required redundant maps are already in the benchmark, making this a cheap obvious-in-hindsight audit.'}",CRITIQUE,
040,The pressure history written in a winding artery,ACTIVE,,"{'value': 3, 'why': 'Cheap enough to screen despite the proxy problem.'}",CRITIQUE,
041,The roughness of a heartbeat through starved tissue,ACTIVE,,"{'value': 4, 'why': 'The biomarker paper has already completed the expensive measurement legwork, leaving one experiment to convert association into a model-behavior result.'}",CRITIQUE,
042,Delay is not dispersion,ACTIVE,,"{'value': 4, 'why': 'The raw curves already contain the needed distinction, and collapsing both effects into Tmax may be an avoidable modeling error.'}",CRITIQUE,
043,What the winner's brain window revealed,ACTIVE,,"{'value': 4, 'why': 'A direct explanation for a ten-point preprocessing effect is an obvious next experiment.'}",CRITIQUE,
